uid,company,url,color,industry,location,,,,
257,samsung,Samsung-logo-8A87EDFB33-seeklogo.com.gif,blue,electronics,global,,,,
258,samsung,Samsung-logo-8A87EDFB33-seeklogo.com.gif,blue,electronics,global,,,,
259,samsung,Samsung-logo-8A87EDFB33-seeklogo.com.gif,white,electronics,,,,,
260,santander,logo-satander.gif,red,,,,,,
261,seat,Seat-logo-3EE562BF78-seeklogo.com.gif,gray,automotive,global,,,,
262,seat,Seat-logo-3EE562BF78-seeklogo.com.gif,red,automotive,global,,,,
263,sharp,Sharp-logo-115F7D5784-seeklogo.com.gif,red,electronics,global,,,,
264,shell,logo-royal-dutch-shell.gif,red,energy,global,,,,
265,shell,logo-royal-dutch-shell.gif,yellow,energy,global,,,,
266,siemens,logo-siemens.gif,blue,,global,,,,
267,sinopec,logo-sinopec.gif,black,,,,,,
268,sinopec,logo-sinopec.gif,red,,,,,,
269,sk,logo-sk-group.gif,orange,,,,,,
270,sk,logo-sk-group.gif,red,,,,,,
271,skype,Skype-logo-80B9AF413A-seeklogo.com.gif,blue,communications,global,,,,
272,skype,Skype-logo-80B9AF413A-seeklogo.com.gif,white,communications,global,,,,
273,societe generale,logo-societe-generale.gif,black,insurance,,,,,
274,societe generale,logo-societe-generale.gif,red,insurance,,,,,
275,societe generale,logo-societe-generale.gif,white,insurance,,,,,
276,sony,logo-sony.gif,blue,electronics,global,,,,
277,starbucks,Starbucks_Coffee-logo-DECE0A6E4B-seeklogo.com.gif,black,beverage,global,,,,
278,starbucks,Starbucks_Coffee-logo-DECE0A6E4B-seeklogo.com.gif,green,beverage,global,,,,
279,starbucks,Starbucks_Coffee-logo-DECE0A6E4B-seeklogo.com.gif,white,beverage,global,,,,
280,starbucks,logo-state-grid.gif,green,energy,,,,,
281,statoil hydro,logo-statoilhydro.gif,blue,energy,,,,,
282,subaru,Subaru-logo-255FEAAF77-seeklogo.com.gif,black,automotive,global,,,,
283,subaru,Subaru-logo-255FEAAF77-seeklogo.com.gif,blue,automotive,global,,,,
284,subaru,Subaru-logo-255FEAAF77-seeklogo.com.gif,white,automotive,global,,,,
285,subway,Subway-logo-FE7952F639-seeklogo.com.gif,green,fast food,global,,,,
